id,name,dob,batting_hand,bowling_skill,country,is_umpire
1,SC Ganguly,1972-07-08,Left_Hand,Right-arm medium,India,false
2,BB McCullum,1981-09-27,Right_Hand,Right-arm medium,New Zealand,false
3,RT Ponting,1974-12-19,Right_Hand,Right-arm medium,Australia,false
4,DJ Hussey,1977-07-15,Right_Hand,Right-arm offbreak,Australia,false
5,Mohammad Hafeez,1980-10-17,Right_Hand,Right-arm offbreak,Pakistan,false
6,R Dravid,1973-01-11,Right_Hand,Right-arm offbreak,India,false
7,W Jaffer,1978-02-16,Right_Hand,Right-arm offbreak,India,false
8,V Kohli,1988-11-05,Right_Hand,Right-arm medium,India,false
9,JH Kallis,1975-10-16,Right_Hand,Right-arm fast-medium,South Africa,false
10,CL White,1983-08-18,Right_Hand,Legbreak googly,Australia,false
11,MV Boucher,1976-12-03,Right_Hand,Right-arm medium,South Africa,false
12,B Akhil,1977-10-07,Right_Hand,Right-arm medium-fast,India,false
13,AA Noffke,1977-04-30,Right_Hand,Right-arm fast-medium,Australia,false
14,P Kumar,1986-10-02,Right_Hand,Right-arm medium,India,false
15,Z Khan,1978-10-07,Right_Hand,Left-arm fast-medium,India,false
16,SB Joshi,1970-06-06,Left_Hand,Slow left-arm orthodox,India,false
18,ML Hayden,1971-10-29,Left_Hand,Right-arm medium,Australia,false
19,MEK Hussey,1975-05-27,Left_Hand,Right-arm medium,Australia,false
20,MS Dhoni,1981-07-07,Right_Hand,Right-arm medium,India,false
21,SK Raina,1986-11-27,Left_Hand,Right-arm offbreak,India,false
22,JDP Oram,1978-07-28,Left_Hand,Right-arm fast-medium,New Zealand,false
23,S Badrinath,1980-08-30,Right_Hand,Right-arm offbreak,India,false
24,K Goel,1986-12-24,Left_Hand,Right-arm offbreak,India,false
25,JR Hopes,1978-10-24,Right_Hand,Right-arm medium,Australia,false
26,KC Sangakkara,1977-10-27,Left_Hand,Right-arm offbreak,Sri Lanka,false
27,Yuvraj Singh,1981-12-12,Left_Hand,Slow left-arm orthodox,India,false
28,SM Katich,1975-08-21,Left_Hand,Slow left-arm chinaman,Australia,false
29,IK Pathan,1984-10-27,Left_Hand,Left-arm medium-fast,India,false
30,T Kohli,1988-12-17,Right_Hand,Right-arm medium,India,false
31,YK Pathan,1982-11-17,Right_Hand,Right-arm offbreak,India,false
32,SR Watson,1981-06-17,Right_Hand,Right-arm fast-medium,Australia,false
33,M Kaif,1980-12-01,Right_Hand,Right-arm offbreak,India,false
34,DS Lehmann,1970-02-05,Left_Hand,Slow left-arm orthodox,Australia,false
35,RA Jadeja,1988-12-06,Left_Hand,Slow left-arm orthodox,India,false
37,D Salunkhe,1982-11-12,Right_Hand,Legbreak,India,false
38,SK Warne,1969-09-13,Right_Hand,Legbreak googly,Australia,false
39,SK Trivedi,1982-09-04,Right_Hand,Right-arm medium,India,false
40,G Gambhir,1981-10-14,Left_Hand,Legbreak,India,false
41,V Sehwag,1978-10-20,Right_Hand,Right-arm offbreak,India,false
42,S Dhawan,1985-12-05,Left_Hand,Right-arm offbreak,India,false
44,ST Jayasuriya,1969-06-30,Left_Hand,Slow left-arm orthodox,Sri Lanka,false
45,DJ Thornely,1978-10-01,Right_Hand,Right-arm medium,Australia,false
46,RV Uthappa,1985-11-11,Right_Hand,Right-arm medium,India,false
48,AM Nayar,1983-10-08,Left_Hand,Right-arm medium,India,false
49,SM Pollock,1973-07-16,Right_Hand,Right-arm fast-medium,South Africa,false
50,Harbhajan Singh,1980-07-03,Right_Hand,Right-arm offbreak,India,false
51,S Chanderpaul,1974-08-16,Left_Hand,Legbreak,West Indies,false
52,LRPL Taylor,1984-03-08,Right_Hand,Right-arm offbreak,New Zealand,false
53,AC Gilchrist,1971-11-14,Left_Hand,Right-arm offbreak,Australia,false
54,Y Venugopal Rao,1982-02-26,Right_Hand,Right-arm offbreak,India,false
55,VVS Laxman,1974-11-01,Right_Hand,Right-arm offbreak,India,false
56,A Symonds,1975-06-09,Right_Hand,Right-arm offbreak,Australia,false
57,RG Sharma,1987-04-30,Right_Hand,Right-arm offbreak,India,false
58,SB Styris,1975-07-10,Right_Hand,Right-arm medium,New Zealand,false
59,SB Bangar,1972-10-11,Right_Hand,Right-arm medium-fast,India,false
60,WPUJC Vaas,1974-01-27,Left_Hand,Left-arm fast-medium,Sri Lanka,false
61,RP Singh,1985-12-06,Right_Hand,Left-arm fast-medium,India,false
63,LR Shukla,1981-05-06,Right_Hand,Right-arm medium,India,false
